Date,Region,Manufacturer,Measure,Frequency,Value,DateLabel,DateKey
2023-02-28,EU + EFTA + UK,Lexus,YTD,M,3055,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mazda,TTM,M,12489,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mazda,UNITS,M,12489,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mazda,YTD,M,12489,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mercedes,TTM,M,48565,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mercedes,UNITS,M,48565,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mercedes,YTD,M,48565,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mercedes-Benz,TTM,M,50017,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mercedes-Benz,UNITS,M,50017,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mercedes-Benz,YTD,M,50017,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mini,TTM,M,12094,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mini,UNITS,M,12094,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mini,YTD,M,12094,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mitsubishi,TTM,M,2397,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mitsubishi,UNITS,M,2397,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Mitsubishi,YTD,M,2397,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Nissan,TTM,M,19421,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Nissan,UNITS,M,19421,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Nissan,YTD,M,19421,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Opel/Vauxhall,TTM,M,33776,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Opel/Vauxhall,UNITS,M,33776,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Opel/Vauxhall,YTD,M,33776,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Peugeot,TTM,M,53542,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Peugeot,UNITS,M,53542,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Peugeot,YTD,M,53542,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Porsche,TTM,M,6557,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Porsche,UNITS,M,6557,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Porsche,YTD,M,6557,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Renault,TTM,M,46446,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Renault,UNITS,M,46446,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Renault,YTD,M,46446,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Renault Group,TTM,M,91298,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Renault Group,UNITS,M,91298,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Renault Group,YTD,M,91298,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,SAIC Motor,TTM,M,7736,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,SAIC Motor,UNITS,M,7736,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,SAIC Motor,YTD,M,7736,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Seat,TTM,M,20671,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Seat,UNITS,M,20671,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Seat,YTD,M,20671,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Skoda,TTM,M,50851,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Skoda,UNITS,M,50851,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Skoda,YTD,M,50851,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Smart,TTM,M,1452,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Smart,UNITS,M,1452,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Smart,YTD,M,1452,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Stellantis,TTM,M,167180,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Stellantis,UNITS,M,167180,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Stellantis,YTD,M,167180,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Suzuki,TTM,M,12034,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Suzuki,UNITS,M,12034,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Suzuki,YTD,M,12034,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Tesla,TTM,M,23485,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Tesla,UNITS,M,23485,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Tesla,YTD,M,23485,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Toyota,TTM,M,62431,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Toyota,UNITS,M,62431,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Toyota,YTD,M,62431,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Toyota Group,TTM,M,65486,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Toyota Group,UNITS,M,65486,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Toyota Group,YTD,M,65486,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Volkswagen,TTM,M,96864,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Volkswagen,UNITS,M,96864,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Volkswagen,YTD,M,96864,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Volkswagen Group,TTM,M,235404,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Volkswagen Group,UNITS,M,235404,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Volkswagen Group,YTD,M,235404,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Volvo Cars,TTM,M,20074,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Volvo Cars,UNITS,M,20074,2023-02,1677542400000
2023-02-28,EU + EFTA + UK,Volvo Cars,YTD,M,20074,2023-02,1677542400000
2023-02-28,European Union (EU),Alfa Romeo,TTM,M,3289,2023-02,1677542400000
2023-02-28,European Union (EU),Alfa Romeo,UNITS,M,3289,2023-02,1677542400000
2023-02-28,European Union (EU),Alfa Romeo,YTD,M,3289,2023-02,1677542400000
2023-02-28,European Union (EU),Alpine,TTM,M,94,2023-02,1677542400000
2023-02-28,European Union (EU),Alpine,UNITS,M,94,2023-02,1677542400000
